FSM,states,transitions,density
fsm791,53,533,0.039437662
fsm792,53,533,0.039437662
fsm794,48,528,0.043137255
fsm795,42,523,0.048832866
fsm796,42,523,0.048832866
fsm797,27,2547,0.369934641
fsm798,184,2794,0.059548167
fsm799,18,43,0.009368192
fsm8,11,13,0.004634581
fsm800,22,2532,0.451336898
fsm802,16,1580,0.387254902
fsm803,27,29,0.004212055
fsm804,11,12,0.004278075
fsm805,13,1779,0.536651584
fsm807,22,4056,0.722994652
fsm81,20,2541,0.498235294
fsm811,15,1531,0.400261438
fsm813,45,622,0.054204793
fsm814,19,2037,0.420433437
fsm815,27,4061,0.589832970
fsm817,30,4316,0.564183007
fsm818,72,571,0.031100218
fsm819,27,5571,0.809150327
fsm821,19,2037,0.420433437
fsm822,33,5579,0.662982769
fsm824,18,28,0.006100218
fsm825,18,28,0.006100218
fsm87,42,8610,0.803921569
fsm9,17,19,0.004382930
fsm90,37,6842,0.725172231
fsm92,23,2039,0.347655584
fsm93,112,25312,0.886274510
fsm95,20,2540,0.498039216
fsm96,59,12659,0.841409106
fsm97,20,2540,0.498039216
fsm98,20,2540,0.498039216
fsm99,20,2540,0.498039216
